(internal) id,(source) id,pubmed id,keywords,abstract,title,journal,authors,tags,consensus,labeled_at,lukas.birkenmaier@gesis.org,labeled_at,general notes (lukas.birkenmaier@gesis.org),population notes (lukas.birkenmaier@gesis.org),intervention/comparator notes (lukas.birkenmaier@gesis.org),outcome notes (lukas.birkenmaier@gesis.org)
33937326,309,WOS:000364202800004,,"This study examines how actors from diverse and competing social groups can come to identify as members of a common market rather than as agents of their discrete social groups. Using data on new-investor recruitment into Kenya's nascent capital market, the Nairobi Securities Exchange, from 2005 through 2008, I identified mechanisms driving social segmentation as well as integration of disparate groups. The empirical context is characterized by weak formal institutions and high levels of inter-ethnic distrust, a novel but productive setting for studying how potential adopters use social identities to resolve uncertainty around expected gains of participating in a new market. Results show that instead of exhibiting blanket influence by homophilous peers, potential investors were positively influenced by profits earned by proximate coethnic peers primarily when their own exposure to corrupt financial organizations was higher but were negatively influenced by the profits of ethnic outsiders when the market was identified with distrusted political rivals. Several mechanisms moderated this pattern of distrust, including inter-ethnic residential and religious integration but especially the use of national language rather than ethnic language advertising campaigns, which reframed the market as a shared social identity. Findings indicate that the negative effects of social segmentation, including the distorting influences of dissimilar peers and environmental factors such as political tensions and distrust in institutions, can be reversed when potential investors learn about new market opportunities from neutral third parties or when policy makers frame such practices in socially neutral language.
",Mobilizing a Market: Ethnic Segmentation and Investor Recruitment into the Nairobi Securities Exchange,Adm. Sci. Q.,,,o,,-1,27/06/2022 08:22,,,,
33937327,90,WOS:000425791300006,,"This article investigates how the mix of attributes present across different media shapes perceptions of incivility. I argue that certain modalities, particularly the channel and structure of a media platform, facilitate the perception of media as more uncivil even if the content is kept the same. To test this argument, I conduct two survey experiments in which participants are randomly assigned to treatments in which the substantive content and text remains the same but is packaged to mimic different media types. Generally, audio and video increase awareness of incivility cues as well as participants' evaluations of negative, emotional, and entertaining tone. There are also differences in the extent to which individuals notice incivility on Twitter than on other text-based media platforms. The social media platform is also particularly entertaining in comparison to the other platforms studied. This article demonstrates that media attributes interact to shape our understanding and identification of uncivil language. Furthermore, it suggests that more attention should be focused on identifying the different sets of characteristics that make incivility more or less likely or salient in political media.
",Platforms for Incivility: Examining Perceptions Across Different Media Formats,Polit. Commun.,,,o,,1,27/06/2022 08:23,,,,
33937328,382,WOS:000494422800001,,"The 2016US election and the victory of Donald Trump are closely connected to a perceived rise of the far-right in the United States. We build upon public sphere and alternative media theory to discuss the relevance of alternative media for the US (far-)right and whether the election period and the candidate Trump allowed far-right alternative media to establish themselves in the (far-) right networked public sphere. We investigate whether it has come to a convergence of topics between the right and the extreme far-right. We analyze the topics nine right-wing outlets, ranging from Fox News to the Neo-Nazi Daily Stormer, covered in 2015/2016 during the US presidential election. We show through topic modeling of 21,919 articles how Breitbart established itself as a media outlet between the extreme far-right and mainstream right by both covering more extreme and more classic conservative topics. We show through time series clustering how Breitbart and Fox News converged in their coverage of Islam and immigration. Finally, we show through hyperlink analysis that the connection between the far-right and the mainstream right is mostly one-sided; while the alternative outlets link to more established ones, the established outlets mostly ignore the outlets from the far-right.
",Connecting the (Far-)Right Dots: A Topic Modeling and Hyperlink Analysis of (Far-)Right Media Coverage during the US Elections 2016,Digit. Journal.,,,o,,1,27/06/2022 08:23,,,,
33937329,120,WOS:000386939300003,,"We present new methods to estimate causal effects retrospectively from micro data with the assistance of a machine learning ensemble. This approach overcomes two important limitations in conventional methods like regression modeling or matching: (i) ambiguity about the pertinent retrospective counterfactuals and (ii) potential misspecification, overfitting, and otherwise bias-prone or inefficient use of a large identifying covariate set in the estimation of causal effects. Our method targets the analysis toward a well-defined 'retrospective intervention effect' based on hypothetical population interventions and applies a machine learning ensemble that allows data to guide us, in a controlled fashion, on how to use a large identifying covariate set. We illustrate with an analysis of policy options for reducing ex-combatant recidivism in Colombia.
",Retrospective Causal Inference with Machine Learning Ensembles: An Application to Anti-recidivism Policies in Colombia,Polit. Anal.,,,o,,-1,27/06/2022 08:29,,,,
33937330,133,WOS:000475687800008,,"Though used frequently in machine learning, boosted decision trees are largely unused in political science, despite many useful properties. We explain how to use one variant of boosted decision trees, AdaBoosted decision trees (ADTs), for social science predictions. We illustrate their use by examining a well-known political prediction problem, predicting U.S. Supreme Court rulings. We find that our ADT approach outperforms existing predictive models. We also provide two additional examples of the approach, one predicting the onset of civil wars and the other predicting county-level vote shares in U.S. presidential elections.
",Improving Supreme Court Forecasting Using Boosted Decision Trees,Polit. Anal.,,,o,,-1,27/06/2022 08:30,,,,
33937331,262,WOS:000456688900005,,"This study extends previous input-based grammar instruction research (for reviews, DeKeyser and Prieto Botana 2015; Shintani 2015) by comparing two types of input-based practice with the same explicit information for learning L2 German definite article case-marking cues (der, den). Participants (N=138, aged 9-11) received explicit information followed by either task-essential practice in making form-meaning connections (referential activities from Processing Instruction) OR task-essential practice in spotting the form (word noticing activities). Both interventions yielded equivalent durable gains across six ecologically valid tests of comprehension and production (written and oral modalities), compared to no gains in a control group. The findings revealed that, following explicit information, input practice requiring engagement with the target feature (as proposed by Svalberg 2012) was equally effective as task-essential form-meaning connection practice, shedding important light on previous claims in the research agenda on task-essential input practice (Marsden 2006; Marsden and Chen 2011). Responding to calls for ecologically valid effect-of-instruction research (Mitchell 2000; Spada 2015), this classroom study demonstrates the efficacy of grammar practice for young learners within input-poor foreign language classrooms.
",Towards Ecological Validity in Research into Input-based Practice: Form Spotting Can Be as Beneficial as Form-meaning Practice,Appl. Lingusit,,,o,,-1,27/06/2022 08:30,,,,
33937332,261,WOS:000538125100002,,"Can the promise of data-driven reporting as an empirical form of journalistic inquiry take root in the Arab region, where public data are often inaccessible, equipment and skills are in short supply, and civic-affairs journalism is hamstrung by wary governments? Sixteen data journalists working in Arab nations were identified through multiple inquiries and a snowball sample that achieved saturation. Informants described data journalism as the careful analysis of numerical evidence to provide credible and sometimes visual information to audiences on subjects otherwise off limits and which aligns journalists with perceived global professional standards. Four types of barriers emerged: two structural (insufficient data access and social/political expectations) and two individualistic (ignorance and resistance). Combined, those barriers affirm journalistic role conception research and the value of metajournalistic discourse theory to reveal that the fundamental obstacle in the region is not a paucity of data but the ontological limitation of the dominant loyal-facilitator role.
",Data Journalism in the Arab Region: Role Conflict Exposed,Digit. Journal.,,,o,,-1,27/06/2022 08:31,,,,
33937333,69,WOS:000724667500001,,"This article explores the changing roles of Social Media Editors (SMEs) in the field of journalism, focusing on their unique position as mediators between online news consumers, marketing departments, and newsrooms. Based on in-depth interviews, our findings suggest that, far beyond their origins as comment field moderators, SMEs now play a crucial role in integrating complex behavioral data from social network sites and circulating this data in the newsroom to align news production with perceived audience tastes. Our findings also suggest that while SMEs identify with traditional norms of professional journalism, they also work closely with staff in marketing departments and draw on marketing language and imagery when describing their work. Ultimately, we find that our SME participants experience their increasingly central role in the newsroom in contradictory and ambivalent ways, at times defending traditional professional values, while at other times voicing support for audience sovereignty and giving readers what they want. In this way, if Pierre Bourdieu's field theory suggests that journalism is structured by an ongoing struggle between exogeneous (commercial and marketing) logics and endogenous professional values, the changing roles of SMEs indicate the arrival of a new stage in this struggle - a stage marked by the deep and virtually uncontested advance of marketing terminology and goals into the journalistic field. In this restructured professional field, individual SMEs are thus left with the difficult task of reconciling, at the level of habitus, internalized tensions between ascendant marketing imperatives and residual but still-cherished journalistic dispositions and values.
",Social Media Editors and the Audience Funnel: Tensions between Commercial Pressures and Professional Norms in the Data-Saturated Newsroom,Digit. Journal.,,,o,,-1,27/06/2022 08:31,,,,
33937334,285,WOS:000405498800005,,"This study explored the effect of two planning conditions [the simultaneous use of rehearsal and careful online planning (ROP), and the careful online planning alone (OP)] on L2 production complexity and accuracy and the subsequent development of these two linguistic areas in the context of text-based synchronous computer-mediated communication. Intermediate to advanced adult ESL learners (N = 33) participated in the study. They completed four picture-based narrative tasks under the two planning conditions over a two-week period via text-chat. Two tasks were used as experimental tasks to gauge immediate planning effect on L2 production and the other two as new tasks to gauge L2 development. Results showed that both types of planning condition supported immediate production complexity but the ROP condition was more effective in leading to more accurate use of grammatical verb forms. With regard to the subsequent development of production complexity and accuracy, the ROP condition was more effective in leading to improvement on clausal complexity as well as control over the use of grammatical verb forms and avoidance of general errors.
",The Effect of Task Planning on L2 Performance and L2 Development in Text-Based Synchronous Computer-Mediated Communication,Appl. Lingusit,,,o,,-1,27/06/2022 08:35,,,,
33937335,124,WOS:000509536300003,,"Media content can shape people's descriptive norm perceptions by presenting either population-level prevalence information or descriptions of individuals' behaviors. Supervised machine learning and crowdsourcing can be combined to answer new, theoretical questions about the ways in which normative perceptions form and evolve through repeated, incidental exposure to normative mentions emanating from the media environment. Applying these methods, this study describes tobacco and e-cigarette norm prevalence and trends over 37 months through an examination of a census of 135,764 long-form media texts, 12,262 popular YouTube videos, and 75,322,911 tweets. Long-form texts mentioned tobacco population norms (4-5%) proportionately less often than e-cigarette population norms (20%). Individual use norms were common across sources, particularly YouTube (tobacco long-form: 34%; Twitter: 33%; YouTube: 88%; e-cigarette long form: 17%; Twitter: 16%; YouTube: 96%). The capacity to capture aggregated prevalence and temporal dynamics of normative media content permits asking population-level media effects questions that would otherwise be infeasible to address.
","Toward an Aggregate, Implicit, and Dynamic Model of Norm Formation: Capturing Large-Scale Media Representations of Dynamic Descriptive Norms Through Automated and Crowdsourced Content Analysis",J. Commun.,,,o,,1,27/06/2022 08:36,,,,
33937336,37,WOS:000636598700001,,"Do citizens under authoritarian rule trust government information? To answer this question, I compared citizen statements and movement trajectories from smartphone social media communication in real-time with precise timestamps and locations in response to the government's press releases during the Kunming railway station attack in southwestern China in 2014. I find that while outward engagement with government information may increase as the government releases more information, citizen trust in such information, in fact, diminishes, even when the information itself is straightforward and factual. In other words, an authoritarian government's efforts to disseminate information comes with a cost - its credibility.
",Information Credibility under Authoritarian Rule: Evidence from China,Polit. Commun.,,,o,,1,27/06/2022 08:37,,,,
33937337,345,WOS:000648732300004,,"In this article, we provide longitudinal evidence for the progressive routinization of a grammatical construction used for social coordination purposes in a highly specialized activity context: task-oriented video-mediated interactions. We focus on the methodic ways in which, over the course of 4 years, a second language speaker and initially novice to such interactions coordinates the transition between interacting with her coparticipants and consulting her own screen, which suspends talk, without creating trouble due to halts in progressivity. Initially drawing on diverse resources, she increasingly resorts to the use of a prospective alert constructed around the verb to check (e.g., 'I will check'), which eventually routinizes in the lexically specific form 'let me check' as a highly context- and activity-bound social action format. We discuss how such change over the participant's video-mediated interactional history contributes to our understanding of social coordination in video-mediated interaction and of participants' recalibrating their grammar-for-interaction while adapting to new situations, languages, or media. Data are in English.
",The Routinization of Grammar as a Social Action Format: A Longitudinal Study of Video-Mediated Interactions,Res. Lang. Soc. Interact.,,,o,,-1,27/06/2022 08:37,,,,
33937338,397,WOS:000493400200006,,"Using data of articles from 42 Social Science Citation Index (SSCI)-indexed journals of applied linguistics, this study renders a bibliometric analysis of the 2005-16 research trends in the field. The analysis focuses on, among other issues, the most frequently discussed topics, the most highly cited publications, and the changes that have occurred in the research trends. The results show that while most of the frequently discussed topics have remained popular over the 12 years, some (especially sociocultural/functional/identity issues) have experienced a significant increase of interest, but some others (particularly certain phonological/grammatical/generative linguistic topics) have witnessed a substantial decrease of interest. There has also been an increased use of new theories including those coming from distant disciplines. Furthermore, while the number of publications from traditional publication powerhouses, such as the USA, has shown a slow, albeit steady decline proportionally, those from some other countries, such as China, have exhibited a substantial steady rise. The latter countries' increasing publication rates appear to have contributed to the increased discussion of issues specific to their context. Implications of the findings are also discussed.
",Research Trends in Applied Linguistics from 2005 to 2016: A Bibliometric Analysis and Its Implications,Appl. Lingusit,,,o,,-1,27/06/2022 08:37,,,,
33937339,341,WOS:000692499600001,,"This article turns to postcolonial Mexico to analyze the importance of Indigenous political thought for the transformation of radical republicanism during the Age of Revolutions. I argue that Mexican insurgents deployed Indigenous genealogies to instantiate what I call 'restorative revolution,' a form of revolutionary thinking that prioritized memorialization over absolute foundation. Mexico's restorative project began with calls for the return of the Anahuac Empire, an Indigenous genealogy that memorialized histories of popular self-rule to legitimize postcolonial demands. I suggest that the Anahuac movement transformed the principles of radical republican thought by mobilizing around religious, plebeian, and hemispheric identities. Each of these characteristics problematizes dominant interpretations of republicanism as a secular, elite, and national enterprise. This article uses popular objects and archival ephemera to illustrate the importance of engaging with the political contributions of marginalized groups from the spaces, practice, and languages they used to envision postcolonial emancipation in collective terms.
",Restoring Anahuac: Indigenous Genealogies and Hemispheric Republicanism in Postcolonial Mexico,Am. J. Polit. Sci.,,,o,,-1,27/06/2022 08:38,,,,
33937340,282,WOS:000412594800002,,"This study investigates how the use of discourse markers reflects speaking fluency in Chinese learners. In this study, 220 min of online Chinese courses were transcribed, with 17 Chinese learners and 5 native Chinese teachers as participants. Half of the transcribed data were drawn from students living in Taipei, Taiwan, a Chinese-speaking environment, learning Chinese as a second language. The other portion of the data was collected from students living in non-Chinese-speaking countries, learning Chinese as a foreign language with little exposure to the language outside the classroom. Analysis of the transcripts supported the hypothesis that the frequency of discourse markers used by individual speakers reflects their fluency in the target language. Further analyses of the function of discourse markers produced by the three participant groups suggested that understanding the ability to use discourse markers can be a valuable tool to evaluate, assess, and gauge richness of spoken content, as well as to aid in the development of teaching methods.
","The Use of Discourse Markers among Mandarin Chinese Teachers, and Chinese as a Second Language and Chinese as a Foreign Language Learners",Appl. Lingusit,,,o,,-1,27/06/2022 08:38,,,,
33937341,459,WOS:000383183400004,,"The term 'language management' has become a widely used expression in the sociolinguistic literature. Originally introduced by Jernudd and NeustupnA1/2 in 1987, as a novel continuation of the language planning tradition stemming from the 1960/70s, language management along these lines has developed into the Language Management Theory (LMT). A second definition of language management, diverting from LMT, can be found in the work of Spolsky, who treats language management as a theoretical component of the wider concept of language policy. Furthermore, over the past 15 years a number of scholars, particularly from the international management discipline, appear to have taken an interest in language as a variable in business and corporate management. It is also common to refer to this research field as language management. This conceptual article offers a theoretically based comparison of the three definitions of language management, before discussing five main focus points, which may be used to highlight their analytical differences.
","Language Management x 3: A Theory, a Sub-Concept, and a Business Strategy Tool",Appl. Lingusit,,,o,,-1,27/06/2022 08:38,,,,
33937342,396,WOS:000493400200005,,"Relationships among task characteristics, L2 performance, and interlanguage development are of interest both for SLA research and the design of syllabuses and language teaching materials. Complexity has been identified as a promising, but methodologically problematic, task design feature. A study was conducted of the effects of progressive increases in the complexity (operationalized as number of elements) of three versions of each of three tasks on the syntactic complexity and lexical diversity of the speech of 42 English native speakers. Data on native speaker performance are important because they reveal task complexity effects unfiltered by non-native competence. Independent evidence that greater task complexity increased cognitive load was shown by participant self-ratings of perceived difficulty, mental effort, and stress, shorter prospective duration estimates and, using dual-task methodology, slower reaction times. Mid-complex versions of the three tasks elicited the most complex syntactic structures, and the most complex versions elicited the greatest lexical diversity. Implications are noted for the design of parallel studies with non-native speakers, along with suggested methodological improvements for future research with native and non-native populations.
","Task Complexity, Cognitive Load, and L1 Speech",Appl. Lingusit,,,o,,-1,27/06/2022 08:38,,,,
33937343,114,WOS:000475108600001,,"The question of how Facebook and Google make and justify decisions regarding permissible political advertising on their platforms is increasingly important. In this paper, we focus on the U.S. case and present findings from interviews with 17 former social media firm employees (n = 7) and political practitioners (n = 11). We also analyze emails (n = 45) exchanged between Facebook government and elections staffers and two campaigns, a U.S. gubernatorial (2017) and presidential campaign (2016), regarding the platform's policies in the context of paid speech. In addressing questions about Facebook's and Google's processes and policies regarding paid political content, the rationales for them, and the ability of campaigns to contest decisions, this study shows how while Facebook and Google resist being arbiters of political discourse, they actively vet paid content on their platforms. These platforms differ with respect to how and what decisions they make in the context of paid speech and within each company there are active and ongoing debates among staffers about speech. These debates at times take place in consultation with political practitioners and often occur in the context of external events. Across these firms, policies regarding speech evolve through these internal debates, appeals by practitioners, and outside pressure. At the same time, both Facebook and Google make decisions in often opaque ways, according to policies that are not transparent, and without clear justifications to campaigns or the public as to how they are applied or enforced. This limits options for political practitioners to contest regulation decisions. Finally, we conclude by arguing for the need for expanded capacities for political practitioners and the public to exercise voice around the content decisions that these firms make, and for firms to create more robust institutional mechanisms for incorporating it.
","The 'Arbiters of What Our Voters See': Facebook and Google's Struggle with Policy, Process, and Enforcement around Political Advertising",Polit. Commun.,,,o,,-1,27/06/2022 08:38,,,,
33937344,289,WOS:000396580400005,,"In May 13, 2013, the Associated Press announced that the United States Department of Justice had secretly subpoenaed phone records from Associated Press phone lines over a two-month period in early 2012. A few days later, on May 17, the Washington Post revealed that the Department of Justice had also been tracking the activities of Fox News' chief Washington correspondent, James Rosen. These two stories caused large scandals in the United States, and the majority of American journalists denounced the surveillance. As these scandals were still unfolding, yet another government surveillance scandal broke: former National Security Agency contractor Edward Snowden revealed that the federal government had been collecting the cell phone metadata of American citizens for several years. Journalists' responses to this scandal were more nuanced; editorials expressed a wider spectrum of views about the ethics of government surveillance practices, and more complex opinions about the legitimacy and necessity of government surveillance. Drawing on approaches to journalistic professionalism, this study uses qualitative textual analysis to assess editorials written in response to these three revelations. The analysis suggests that journalists see their speech as something deserving of unique protections, above and beyond those protections afforded to the general public.
",A 'MASSIVE AND UNPRECEDENTED INTRUSION' A comparative analysis of American journalistic discourse surrounding three government surveillance scandals,Digit. Journal.,,,o,,-1,27/06/2022 08:38,,,,
33937345,357,WOS:000601254700001,,"The theory of statistical discrimination is a dominant social scientific framework for understanding discrimination in labor markets. To date, the literature has treated this theory as a model that merely explains employer behavior. This article contends that the idea of statistical discrimination, rather than simply providing an explanation, can lead people to view social stereotyping as useful and acceptable and thus help rationalize and justify discriminatory decisions. A preregistered survey experiment with more than 2,000 participants who had managerial experience shows that exposure to statistical discrimination theory strengthened people's belief in the accuracy of stereotypes, their acceptance of stereotyping, and the extent to which they engaged in gender discrimination in a hiring simulation. Reading a critical commentary on the theory mitigated these effects. These findings imply that theories of discrimination, and the language associated with them, can rationalize-or challenge the rationality of-stereotypes and discrimination and, as a result, shape the attitudes and actions of decision-makers in labor markets.
",Statistical Discrimination and the Rationalization of Stereotypes,Am. Sociol. Rev.,,,o,,-1,27/06/2022 08:39,,,,
