PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Guo, LJ				Guo Lijun			Lexical Representation of Image of China in Russian Publicistic Discourse	NAUCHNYI DIALOG			Russian	Article						China; PRC; Celestial; Celestial Empire; Celestial Oecumene; language image; discourse analysis; lexicographic description		The question of formation of language image of China in the Russian mass media is considered. The relevance of the study is due to the current political context, in which the creation of a positive image of a country for its residents and for representatives of other cultures is one of the tasks of domestic and foreign policy. The material for the study were the Russian lexemes for China, PRC, Celestial, Celestial Empire, Celestial Oecumene, which are found in publicistic texts extracted from the National corpus of the Russian language, the newspapers "KoMMepcaHTb" and "ApryMeHTbl akTbl" Through the discourse analysis the meanings associated with these proper names actualized in the contexts are identified. On the basis of the revealed pragmatic information, a dictionary entry is compiled in accordance with the principles of lexicographical description of synonymic series presented in the New Explanatory Dictionary of Synonyms of the Russian Language edited by Yu. D. Apresyan. It is noted that the ideas of the Moscow Semantic School (hereinafter - MSS) are very popular in China. It is shown that the integral dictionary description of synonymic series can be applied to proper names, which is not represented in either Russian or Chinese linguistics. The author comes to the conclusion that the image of China as a world leader with specific socio-cultural and political characteristics is formed in the Russian information space.	[Guo Lijun] Sun Yat Sen Univ, Dept Russian Language, Guangzhou, Guangdong, Peoples R China		Guo, LJ (corresponding author), Sun Yat Sen Univ, Dept Russian Language, Guangzhou, Guangdong, Peoples R China.	gu-olj5@sysu.edu.cn			Fundamental Research Funds for the Chinese Central Universities [17wkzd02]	The article is an intermediate result of the project "Research of syntactic semantics of the Moscow Semantic School", supported by "the Fundamental Research Funds for the Chinese Central Universities" (grant No 17wkzd02).		15	1	1	0	2	TSENTR NAUCHNYKH & OBRAZOVATELNYKH PROEKTOV	EKATERINBURG	PR-KT KOSMONAVTOV, DOM 43, KV 57, EKATERINBURG, 620098, RUSSIA	2225-756X	2227-1295		NAUCH DIALOG	Nauch. Dialog		2019		3					38	53		10.24224/2227-1295-2019-3-38-53			16	Humanities, Multidisciplinary	Emerging Sources Citation Index (ESCI)	Arts & Humanities - Other Topics	HZ4YW	WOS:000468858300003		hybrid			2022-03-30	
J	Kameneva, N				Kameneva, Natalia			Analysis of Lexical Features of the Russian and English Languages in the Sphere of Information Technologies	VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV-SERIYA LINGVISTIKA-RUSSIAN JOURNAL OF LINGUISTICS			Russian	Article						lexical and phraseological system of the language; computer discourse; replication; transliteration; slang; homonymy		The aim of the article is the analysis of the language of information technologies, the identification and description of its main features and its formation process. Lexical units of the language of information technologies and computer terms are studied on the basis of academic, technical and popular Russian and English scientific texts. Unlike the language of mass media, business, scientific, advertising, political, pedagogical, artistic, domestic and other discourses, the language of information technologies has not been sufficiently researched. There are practically no systematic and consistent works devoted to its formation. The relevance of the research topic is determined by the focus on the study of modern language tools that reflect the development of information and communication technologies for the effective implementation of professional communication in the context of globalization. The research employs general scientific methods of analysis, synthesis and generalization, as well as the method of electronic search in multimedia dictionaries and Internet resources. The article reveals the process of the formation of the language of information technologies: the emergence of the English neologisms and the adaptation of English-language borrowings in the Russian language. It also analyses the general use of modern computer terminology and its functioning in scientific discourse. The author concludes that the language in the field of information technology is constantly contributing to the lexical and phraseological systems of Russian and other languages, borrowing and accumulating English terms through replication, transliteration, transcription and other means of translation. In the process of the formation of the IT language, the appearance of numerous slang and jargon terms is observed.	[Kameneva, Natalia] Moscow Univ Finance & Law MFUA, Ul Serpukhovskiy Val 17,Block 1, Moscow 115191, Russia		Kameneva, N (corresponding author), Moscow Univ Finance & Law MFUA, Ul Serpukhovskiy Val 17,Block 1, Moscow 115191, Russia.	n-kameneva@yandex.ru						34	1	1	0	1	PEOPLES FRIENDSHIP UNIV RUSSIA	MOSCOW	UL MIKLUKHO-MAKLAYA, DOM 6, MOSCOW, 117198, RUSSIA	2312-9182	2312-9212		VESTN ROSS UNIV DRUZ	Vestn. Ross. Univ.		2019	23	1					185	199		10.22363/2312-9182-2019-23-1-185-199			15	Language & Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	HZ6TR	WOS:000468985800011		gold			2022-03-30	
J	Kemper, D				Kemper, D.			THE BEGINNINGS OF FOREIGN CULTURAL POLITICS IN RUSSIA Part 3. Heinrich von Huyssen's European Network in the Service of the Foreign Cultural Policy under Peter the Great	NOVYI FILOLOGICHESKII VESTNIK-NEW PHILOLOGICAL BULLETIN			English	Article						Heinrich von Huyssen; Tido Henricus a Lith junior; foreign cultural policy; first German-language biography of Peter the Great		Heinrich von Huyssen's cultural and political work was certainly not limited to promoting Russia's image and the tsar's governmental policy through his own writings. He furthermore developed a differentiated and intricate system with the intention of exercising influence over the public opinion of Russia in Western Europe. Heinrich von Huyssen made systematic use of networks of European scholars and provided them not only with finished texts but also detailed information from other authors. It seems likely that his experiences with Neugebauer led to the decision not to identify himself as the author of his works and rather to deliver information and materials to others in such a way that they were then in the position to transmit a convincing and positive image of Russia using authentic documents from the Moscow (and then later Saint Petersburg) chancellery. Thus, he influenced the way in which the reports on Russia were presented in European newspapers and journals, lexica, travel writing, historical works and biographical and autobiographical writing. Particular attention is paid in the paper to the first German-language biography of Peter the Great, which came out in 1710. The tone of the writing evokes justified doubts about the claim that the text might have been written by a German-speaking author. Furthermore, the analysis of the biography demonstrates that the writer has an immense quantity of documents at his disposal which can obviously only come directly from the chancellery of the Russian court.	[Kemper, D.] Russian State Univ Humanities, Thomas Mann Chair German Philol, Inst Russian & German Literature & Cultural Relat, Moscow, Russia		Kemper, D (corresponding author), Russian State Univ Humanities, Thomas Mann Chair German Philol, Inst Russian & German Literature & Cultural Relat, Moscow, Russia.	dirk_kemper@me.com	Kemper, Dirk/AAO-4887-2020		Russian Foundation for Basic Research (RFBR)Russian Foundation for Basic Research (RFBR) [16-24-49005]	The publication has been supported by the Russian Foundation for Basic Research (RFBR), through realization of the research project 16-24-49005		20	0	0	0	0	RUSSIAN STATE UNIV HUMANITIES	MOSCOW GSP-3	MIUSSKAYA SQ 6, MOSCOW GSP-3, 125993, RUSSIA	2072-9316			NOVYI FILOL VESTN	Novyi Filol. Vestn.		2019		51					123	135		10.24411/2072-9316-2019-00095			7	Literature	Emerging Sources Citation Index (ESCI)	Literature	KA2GP	WOS:000505616100010					2022-03-30	
J	Kozlovskaya, E; Kobylko, J; Medvedev, Y				Kozlovskaya, Ekaterina; Kobylko, Jaroslaw; Medvedev, Yevgeniy			Sense-Forming Function of Context in Publicistic Texts	VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV-SERIYA LINGVISTIKA-RUSSIAN JOURNAL OF LINGUISTICS			Russian	Article						semantic structure; publicistic text; axiological value of a text; sense-forming function; associative experiment		The effect-producing function of publicistic texts is realized within the framework of moral values existing in society; therefore, axiological value is an obligatory characteristic of a publicistic text. Since current moral values in society and public consciousness are not static and change due to events in political, economic, scientific, cultural and other areas of human life, we believe that publicistic texts reflect the condition of mentality of a particular society during a particular historical period. The main goal of this research is to study the impact of the social and cultural context on the semantic structure of publicistic texts and elucidate in what way this influence is relevant to the changes in social consciousness. The material of the study includes current Russian and Polish publicistic texts from mass media sources ("Regnum", " Izvestia", "Kommersant", " PT", "W polityce", "Newsweek", "dziennik. pl", etc.), as well as Russian and Polish political lexicography (Mustafin 2012; Sanxharevskij 2010; Wasiluk, Zmarzer 2012, etc.), and the results of an associative experiment conducted among 170 Russian and Polish participants, The findings demonstate possible connections and further tendencies of the actualization of words, which deviate from dictionary meanings, The results of the investigation carried out with the help of contextual analysis also allowed us to conclude that the attention to the sense-forming function of the context is methodologically essential for the study of publicistic texts and their translation into a foreign language because the changes in people's mentality under the influence of social and cultural contexts are materialized in the contextual meanings. They are also reflected in the transformation of word meanings: a word can acquire additional connotations or meanings which in some cases may fully replace the dictionary meanings. The results of the research can be used in sociolinguistics, lexicography and translation of publicistic texts.	[Kozlovskaya, Ekaterina] RUDN Univ, 6 Miklukho Maklaya, Moscow 117198, Russia; [Kobylko, Jaroslaw] Univ Warsaw, 26-28 Krakowskie Przedmiescie, PL-00927 Warsaw, Poland; [Medvedev, Yevgeniy] Int Informat Technol Univ, 34-1 Manasa, Alma Ata 050000, Kazakhstan		Kozlovskaya, E (corresponding author), RUDN Univ, 6 Miklukho Maklaya, Moscow 117198, Russia.	elaguaverde@yandex.ru; jaroslaw.kobylko@yandex.ru; eugene_medvedev@mail.ru	Kozlovskaya, Ekaterina/AAC-5975-2019	Kozlovskaya, Ekaterina/0000-0002-6308-725X				40	0	0	0	1	PEOPLES FRIENDSHIP UNIV RUSSIA	MOSCOW	UL MIKLUKHO-MAKLAYA, DOM 6, MOSCOW, 117198, RUSSIA	2312-9182	2312-9212		VESTN ROSS UNIV DRUZ	Vestn. Ross. Univ.		2019	23	1					165	184		10.22363/2312-9182-2019-23-1-165-184			20	Language & Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	HZ6TR	WOS:000468985800010		gold			2022-03-30	
C	Pelosi, S; Trotta, D; Maisto, A		Alsmirat, M; Jararweh, Y		Pelosi, Serena; Trotta, Daniela; Maisto, Alessandro			Verbal and Non-verbal Markers for the Analysis of Political Discourse	2019 SIXTH INTERNATIONAL CONFERENCE ON SOCIAL NETWORKS ANALYSIS, MANAGEMENT AND SECURITY (SNAMS)			English	Proceedings Paper	6th International Conference on Social Networks Analysis, Management and Security (SNAMS)	OCT 22-25, 2019	Granada, SPAIN	IEEE Spain Sect, Univ Politecnica Valencia, Univ Granada, Jordan Univ Sci & Technol, Graz Univ Technol, Staffordshire Univ, Escuela Tecnica Super Ingn Informatica & Telecomunicac		Political Speeches; annotated corpus; Finite State Automata; Electronic Dictionaries		The paper describes a linguistic analysis performed over a corpus of Italian political speeches annotated through non-verbal tags. With the purpose to locate lexical features correlated with non-verbal phenomena, we exploited a set of electronic dictionaries of simple and compounds words and a network of Local Grammars. A Distributional Analysis of the texts has, then, been carried out in order to automatically explore the corpus.	[Pelosi, Serena; Trotta, Daniela; Maisto, Alessandro] Univ Salerno, Fisciano, Italy		Pelosi, S (corresponding author), Univ Salerno, Fisciano, Italy.	spelosi@unisa.it; dtrotta@unisa.it; amaisto@unisa.it						31	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-7281-2946-4				2019							435	440					6	Computer Science, Information Systems; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BO7YE	WOS:000526061400064					2022-03-30	
J	Rahimi, F; Majidi, SM; Zolfaghari, M				Rahimi, Fatemeh; Majidi, Sayyed Mahmoud; Zolfaghari, Mahdi			CRIME IN THE EYES OF ISLAMIC JURISPRUDENCE AND CRIMINOLOGY	REVISTA GENERO & DIREITO			English	Article						crime; sin; criminology; Islamic jurisprudence		Crime is a modern legal term and its nature is different and distinct from religious or judicial sins. Throughout the lexicon and dictionary of the legal terminology and criminology, in terms of the meaning, there is no lexis or word more complicated than of the term crime or misdemeanor. In the law literature and world the comprehensive term of "crime" is used and punishment is foreseen for its executive enforcement. When a verdict wants to acquire its sovereignty or religious (canonical) nature, that decree or verdict must go along its stages from the initial to the end. These steps involve fabrication (creation) and announcement and verification and implementation (execution). When a verdict implies as a governmental rule, as well as the religious rules, the four above steps are passed, and till these stages are completed, the attributing of verdict to its source will be permissible. In the religious or judicial term, crime is the act (conduct) or the abandonment (omission) of the act (promise or omission of promise) that Islam considered obligatory or forbidden to commit or abandon it which a mundane or heavenly punishment has been imposed. In other words, crime is an opposition or objection to the orders and desecration of a book and a tradition, or committing act that leads to the corruption of an individual or society. In jurisprudence, without implying the term "crime", definitions of acts which are deserve by ta'zir (flogging, discretionary punishment) and punishment. It is mentioned that committing deadly sins and insisting on minor sin is deserved to discretionary punishment awarded by judge; in other texts, it is stated: The committing of prohibited acts and the leaving obligatory measures, which is not specified in the canon law, requires discretionary punishment awarded by judge. Accordingly, in jurisprudence the crimes are related to physical or corporal integrity which are often referred to as "crimes (felonies)" and involve retaliation or Blood money (diya), or they are crimes which their punishment are determined by canon law of Islam, and referred to as " Islamic prescribed punishment (provisions, ambit)", otherwise they will be titled " discretionary punishment awarded by judge ".	[Rahimi, Fatemeh; Majidi, Sayyed Mahmoud] Islamic Azad Univ, Dept Islamic Jurisprudence, Damghan Branch, Damghan, Iran; [Zolfaghari, Mahdi] Islamic Azad Univ, Dept Islamic Jurisprudence & Slamic Law, Damghan Branch, Damghan, Iran		Rahimi, F (corresponding author), Islamic Azad Univ, Dept Islamic Jurisprudence, Damghan Branch, Damghan, Iran.	majidi@du.ac.ir; majidi@du.ac.ir; majidi@du.ac.ir	Gênero & Direito, Revista/Z-1080-2019	Gênero & Direito, Revista/0000-0002-8383-6203				18	0	0	0	0	UNIV FEDERAL PARAIBA	JOAO PESSOA	CIDADE UNIV, JOAO PESSOA, PB 58059-900, BRAZIL	2177-0409	2179-7137		REV GENERO DIREITO	Rev. Genero Direito		2019	8	2			SI		144	166					23	Social Issues	Emerging Sources Citation Index (ESCI)	Social Issues	IT3UC	WOS:000482780800011					2022-03-30	
J	Sawaniewska-Mochowa, Z; Sakalauskiene, V				Sawaniewska-Mochowa, Zofia; Sakalauskiene, Vilija			The Lithuanian and Polish linguistic legacy of Antanas Juska from a twenty-first-century perspective	ACTA BALTICO-SLAVICA			Polish	Article						Antoni Juszkiewicz (Antanas Juska); nineteenth century; bilingual dictionaries; identity; ethnolinguistics; new perspectives in the study of Polish-Lithuanian sources		This article presents the assumptions of new research on the legacy of Antanas Juska, recorded in Lithuanian and Polish. We assume that the forgotten works of this bilingual author from Lithuania, mainly translation dictionaries, are an underestimated study material for interdisciplinary research. They are particularly important for understanding the rich conceptualisations of the world by two collective subjects, Poles and Lithuanians, co-existing in Lithuania under the Russian partition. We have formulated two research hypotheses: (1) the bilingual dictionaries authored by Antanas Juska, who was a Catholic priest, are not only a valuable source of knowledge about the state of the Polish and Lithuanian languages in the nineteenth century, but above all specific cultural texts which form part of the social discourse of their time and place, and thus carry relevant ethnolinguistic and ethnocultural information; (2) bilingual dictionaries as a genre had an impact on the crystallisation of Lithuanian national awareness and the strengthening of cultural identity of Lithuanians in the second half of the nineteenth century. Juska's linguistic legacy will be jointly studied by Polish and Lithuanian-researchers from different perspectives, applying the tools and methods available in twenty-first-century humanities. I. In the ethnolinguistic and ethnohistorical paradigm: in view of the hypothesis that bilingual dictionaries constitute a narrative about the world and its historical time, we extract linguistic data that will enable us to capture the lexical and conceptual symmetry and asymmetry between the linguistic woldview of Poles and Lithuanians in the context of the crystallisation of Lithuanian national awareness. II. In the comparative perspective: (1) we will present Juska's lexicographic legacy against the background of the Lithuanian and Polish lexicographic tradition; we will confront the lexicographic practice and the macro- and microstructure of his dictionaries with important works of Lithuanian lexicography and contemporary dictionaries recording colloquial, dialectal and regional vocabulary of various sub-regions of Lithuania; (2) we will compare the Polish material recorded in Juska's translation dictionaries with dictionaries of the general, dialectal and regional Polish language from Lithuania; (3) we will answer the question whether the introduction of Russian translations into the Lithuanian-Polish dictionary published by the Imperial Academy of Sciences in Saint Petersburg was merely a political requirement stemming from the political situation and censorship, or whether-these translations complement the meanings of the Polish and Lithuanian entries. III. In the sociolinguistic and communication aspect: language contact and multilingualism, and the attendant processes of borrowing, mixing and "combining" vocabulary among users of the regional Polish language and spoken Lithuanian. Our research draws the attention of linguists to old, underestimated texts. It also indicates the cognitive value of linguistic analysis open to history, ethnology and identity studies. By studying Juska's linguistic legacy in the context of modern scholarship, we introduce it into the sphere of collective life of Lithuanians and Poles. In this way, we create a plane for a better mutual understanding which will foster the overcoming of negative national stereotypes.	[Sawaniewska-Mochowa, Zofia] Polskiej Akad Nauk, Inst Slawistyki, Warsaw, Poland; [Sakalauskiene, Vilija] Inst Jezyka Litewskiego, Wilno, Lithuania		Sawaniewska-Mochowa, Z (corresponding author), Polskiej Akad Nauk, Inst Slawistyki, Warsaw, Poland.; Sakalauskiene, V (corresponding author), Inst Lithuanian Language, Vilnius, Lithuania.	zofia.sawaniewska-moch@ispan.waw.pl; vilija.sakalauskiene@lki.lt						40	0	0	0	0	POLISH ACAD SCIENCES, INST SLAVIC STUDIES	WARSAW	BARTOSZEWICZA 1B-17, WARSAW, 00-337, POLAND	0065-1044	2392-2389		ACTA BALTICO-SLAV	Acta Baltico-Slav.		2019	43						23	40		10.11649/abs.2019.014			18	Humanities, Multidisciplinary	Emerging Sources Citation Index (ESCI)	Arts & Humanities - Other Topics	JZ6PA	WOS:000505224700002		gold			2022-03-30	
C	Sha, L		Cox, LH; Zhang, J; Yong, Q		Sha, Lei			A Corpus-Based Study of Ideological Manipulation from Appraisal Theory in Hong Kong Political Interpreting Discourse	PROCEEDINGS OF INTERNATIONAL SYMPOSIUM ON SECOND LANGUAGE ACQUISITION-BASED LANGUAGE PEDAGOGY			English	Proceedings Paper	International Symposium on Second Language Acquisition-Based Language Pedagogy (SLA)	JAN 05-06, 2019	Jinan Univ, Sch Foreign Studies, Guangzhou, PEOPLES R CHINA	Shanghai Foreign Language Educ Press, Springer Nat, Linguist & Appl Linguist, Technol Enhanced Foreign Language Educ, Guangdong Soc Foreign Languages, Jinan Univ	Jinan Univ, Sch Foreign Studies	corpus-based study; ideological manipulation; appraisal theory; Hong Kong; political discourse interpreting		It is noticeable that there are three principles in evaluating interpreting quality: interpreters' professional skills, real-time epistemic competences and interpreting norms. This study focuses on interpreter's manipulative strategies from appraisal theory developed by Jeremy Munday as a major target in the political translation task and explores how governmental statements and reports are interpreted bilingually in Hong Kong. There is a chosen interpreting corpus of 10 transcribed HKSAR policy addresses delivered by two Hong Kong chief executives from 2007 to 2016, indicating the norms of source and target texts. High frequency keywords were selected, identified and analyzed within the corpus. The framework of ideological manipulation was used to describe the interpreting tasks and to exhibit the process where ideology is often taken for granted. This research aims to find that there are lexical preferences by interpreters in the speech full of political, social and ideological issues. The study also employs empirical approaches in both qualitative and quantitative approaches.	[Sha, Lei] Binzhou Univ, Binzhou, Peoples R China		Sha, L (corresponding author), Binzhou Univ, Binzhou, Peoples R China.	lei.sha@connect.polyu.hk						12	0	0	2	5	AMER SCHOLARS PRESS	MARIETTA	3238 HARVEST WAY, MARIETTA, GA 30062 USA			978-1-7337122-3-1				2019							304	311					8	Education & Educational Research; Language & Linguistics	Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Education & Educational Research; Linguistics	BQ6TF	WOS:000613138400043					2022-03-30	
J	Sinjori, T				Sinjori, Tena			SOCIOLINGUISTIC ANALYSIS OF THE FOREWORDS IN CZECH AND CROATIAN MONOLINGUAL DICTIONARIES	FLUMINENSIA			Croatian	Article						Czech Lexicography; Croatian Lexicography; Ideology; Socialism; Nation		This paper takes a critical approach to understanding a dictionary as a neutral source of knowledge. A dictionary is studied as a collection of traces left in it by its authors and the society in which the dictionary is created. The main aim of this study is to discover how the monolingual explanatory Czech and Croatian dictionaries reflect differences in social organisation of the two former socialist republics: Yugoslavia and Czechoslovakia. A sociolinguistic comparative analysis of the forewords of Czech and Croatian dictionaries published during the socialist period was carried out. Special attention was paid to the parts of the text referring to the social reality and circumstances related to the creation of each dictionary. The main hypothesis was that in Czech dictionaries more attention had been dedicated to socialism and its relations to lexicography, whereas in Croatian dictionaries the topic of language as an index of national identity had prevailed. The analysis reveals differences in the status of lexicography in the two societies and describes extralinguistic (economic, ideological, political) impacts on lexicography. The results confirm the hypothesis that the topic of socialism is prevalent in Czech dictionaries, as opposed to the subject of nation being more present in Croatian dictionaries.	[Sinjori, Tena] Sveuciliste Zagrebu, Filozofski Fak, Zagreb, Croatia		Sinjori, T (corresponding author), Sveuciliste Zagrebu, Filozofski Fak, Zagreb, Croatia.	tsinjori@ffzg.hr						29	0	0	0	0	UNIV RIJEKA, FAC PHILOSOPHY	RIJEKA	TRG IVANA KLOBUCARICA 1, RIJEKA, 51000, CROATIA	0353-4642	1848-9680		FLUMINENSIA	Fluminensia		2019	31	2					201	220		10.31820/f.31.2.5			20	Language & Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	JY6AW	WOS:000504496400009		Green Published, gold			2022-03-30	
J	Javed, M; Kamal, S				Javed, Muhammad; Kamal, Shahid			Normalization of Unstructured and Informal Text in Sentiment Analysis	INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS			English	Article						Informal; normalization; opinion mining; roman; sentiment analysis; text preprocessing	TWITTER	Sentiment Analysis is problem of natural language processing which deals with the extraction and analysis of public sentiments shared about target entities over microbloging websites. This field has gained great attention due to the huge availability of decision making textual contents. Sentiment Analysis has enormous application areas such as; Market Analysis, Service Analysis, Showbiz analysis, Movies, sports and even the popularity and acceptance rate of political policies can also be predicted via sentiment analysis systems. Although tremendous volume of opinionative text is available but it is unstructured and noisy due to which sentiment classifiers can't achieve good outcomes. Normalization is the process used to clean noise from unstructured text for sentiment analysis. In this study we have proposed a mechanism for the normalization of informal and unstructured text. Proposed mechanism is comprised of four essential phases; Noise Reduction, Part of Speech Tagging, Stop Word Removal stemming and Lemmatization. Numerous experiments are performed on twitter data set with unsupervised lexicons and dictionaries. Python and Natural language toolkit is used for performing all four essential steps. This study demonstrates that utilization and normalization of informal tokens in tweets improved the overall classification accuracy from 75.42 to 82.357.	[Javed, Muhammad; Kamal, Shahid] Gomal Univ, Inst Comp & Informat Technol, Dera Ismail Khan, Kpk, Pakistan		Javed, M (corresponding author), Gomal Univ, Inst Comp & Informat Technol, Dera Ismail Khan, Kpk, Pakistan.		Kamal, Shahid/ABA-4993-2020					44	1	1	0	6	SCIENCE & INFORMATION SAI ORGANIZATION LTD	WEST YORKSHIRE	19 BOLLING RD, BRADFORD, WEST YORKSHIRE, 00000, ENGLAND	2158-107X	2156-5570		INT J ADV COMPUT SC	Int. J. Adv. Comput. Sci. Appl.	OCT	2018	9	10					78	85					8	Computer Science, Theory & Methods	Emerging Sources Citation Index (ESCI)	Computer Science	HF4FV	WOS:000454189600011					2022-03-30	
J	Voloshina, SV; Tolstova, MA				Voloshina, Svetlana V.; Tolstova, Maria A.			REPRESENTATION OF THE CONCEPT "WEALTH" IN THE DIALECT DISCOURSE: CONSTANTS AND TRANSFORMATIONS	VESTNIK TOMSKOGO GOSUDARSTVENNOGO UNIVERSITETA FILOLOGIYA-TOMSK STATE UNIVERSITY JOURNAL OF PHILOLOGY			Russian	Article						concept; folk culture; richness; dialect discourse; Middle Ob dialects		The paper describes the verbalisation of the concept "wealth" in the dialect discourse, and reveals constants and transformations of folk culture which are reflected in its internal structure. The material is texts recorded in 1946-2016 on the territory of the Middle Ob dialects functioning. A concept is a unit of thinking which is represented by means of language and reflects features of culture. A concept is considered as a layered formation which includes conceptual, figurative and axiological components. In this paper, the authors consider only the conceptual layer of the concept "wealth": units representing this concept are revealed, their lexical meaning, functioning, system connections (synonymic, antonymic relations) and compatibility relations in the selected contexts, as well as relations with other concepts are considered. The concept "wealth" is not a concept of a peasant world; it also functions in urban culture, but has its features in dialect discourse. Among the units verbalising this concept are words that call wealth, rich people, money, and in certain contextual conditions antonymous units that nominate "poverty" and poor people, because poverty is the lack of material values, wealth, and the presence of one member of the opposition implies the absence of the other one: "I'm old, wealth is not necessary... "; "We had a kulak, there were ten cows in his yard, and only four in the artel"; "now, we live none the less. And our parents lived poorly, very poorly"; "State farms are better. Money is on the hands and bread is too. There was a lot of workday units, and what the hell?". It is determined that wealth is primarily associated with utilitarian objects and with objects that furnish the functioning of the family in the peasant culture. So, measures of wealth are food, clothing, livestock, households, dishes, furniture, jewelry (gold), house, interior, car, rites and their paraphernalia. The concept "wealth" has connections and intersections with such concepts as "money", "work", "life", "family", "house", "exile", etc. Transformations of ideas about wealth are caused by the change of epochs, social, political, economic and territorial factors. The study of concepts is important for lexicographic practice, as it expands the understanding of a particular phenomenon and allows to correct dictionary entries. Wealth in folk culture is not only an abundance of material values and money (as it is shown in many dictionaries), it is a result of hard work, and is objects with utilitarian purpose.	[Voloshina, Svetlana V.; Tolstova, Maria A.] Tomsk State Univ, Tomsk, Russia		Voloshina, SV (corresponding author), Tomsk State Univ, Tomsk, Russia.	vsv1304@yandex.ru; Tolstova_11@mail.ru	Voloshina, Svetlana V./O-5706-2014; Tolstova, Maria A./T-3332-2017					15	3	3	0	1	TOMSK STATE UNIV	TOMSK	LENIN AVE, 36, TOMSK, 634050, RUSSIA	1998-6645	2310-5046		VESTN TOMSK U-FILOL	Vestn. Tomsk. Gos. Univ. Filol.	OCT	2018	55						17	28		10.17223/19986645/55/2			12	Language & Linguistics	Emerging Sources Citation Index (ESCI)	Linguistics	HD6LR	WOS:000452652100002		Bronze			2022-03-30	
C	Al-Thubaity, A; Alqahtani, Q; Aljandal, A		Shaalan, K; ElBeltagy, SR		Al-Thubaity, Abdulmohsen; Alqahtani, Qubayl; Aljandal, Abdulaziz			Sentiment lexicon for sentiment analysis of Saudi dialect tweets	ARABIC COMPUTATIONAL LINGUISTICS	Procedia Computer Science		English	Proceedings Paper	4th Annual International Conference on Arabic Computational Linguistics (ACLing)	NOV 17-19, 2018	British Univ Dubai, Dubai, U ARAB EMIRATES		British Univ Dubai	Arabic sentiment analysis; Arabic sentiment lexicon; Arabic text mining; Arabic language resources; Saudi dialect	EXTRACTION; REPUTATION	Twitter is one of the most widely used social media platforms in Saudi Arabia and is a rich source for mining the public's attitude towards political, social, and economic matters. Sentiment analysis is a technique used for identifying the polarity (positive, negative, or neutral) of a given tweet, using either machine learning approaches or sentiment lexicons. This paper presents two resources. The first is the Saudi dialect sentiment lexicon (SauDiSenti), which is a sentiment lexicon for sentiment analysis of Saudi dialect tweets. SauDiSenti comprises 4431 words and phrases from modem standard Arabic (MSA) and Saudi dialects manually extracted from a previously labelled dataset of tweets obtained from trending hashtags in Saudi Arabia. The second is a testing dataset comprising 1500 tweets evenly distributed over three classes: positive, negative, and neutral. To evaluate the performance of SauDiSenti, we used precision, recall, and F measure and compared it to AraSenTi a larger Arabic sentiment dictionary. The data suggest that AraSenTi outperforms SauDiSenti only when both positive and negative tweets are considered, whereas SauDiSenti outperforms AraSenTi when positive, negative, and neutral tweets are considered. Despite the small size of SauDiSenti, its use for sentiment analysis of Saudi dialect tweets shows promising results in comparison to the automatically constructed larger dictionary AraSenTi. SauDiSenti and the testing dataset are available for download at http://corpus.kacstedu.sa/more_info.jsp. (C) 2018 The Authors. Published by Elsevier B.V.	[Al-Thubaity, Abdulmohsen] King Abdulaziz City Sci & Technol, Riyadh, Saudi Arabia; [Alqahtani, Qubayl; Aljandal, Abdulaziz] King Saud Univ, AlMuzahmiyah Branch, Riyadh, Saudi Arabia		Al-Thubaity, A (corresponding author), King Abdulaziz City Sci & Technol, Riyadh, Saudi Arabia.	aalthubaity@kacst.edu.sa	Al-Thubaity, AbdulMohsen/AAW-3824-2020	Al-Thubaity, AbdulMohsen/0000-0003-2376-0849				35	9	10	0	1	ELSEVIER SCIENCE BV	AMSTERDAM	SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1877-0509			PROCEDIA COMPUT SCI			2018	142						301	307		10.1016/j.procs.2018.10.494			7	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods	Conference Proceedings Citation Index - Science (CPCI-S)	Computer Science	BM9RE	WOS:000471263500034		gold			2022-03-30	
