Zeitstempel,title,These are the Authors,"Please scan the text. 
Does the study fulfil the eligibility criteria?
- Empirical Study
- Field of Political Communication
- Using Text as Data Method to operationalise a construct of interest 

You may come back to this question if you have started to fill in some fields as well",If no: Why is the study out of scope?,source,language,language_others,"Please name the target construct as described by the authors)
Note: Please use the exact wording of the authors, such as ""affective polarization"", ""semantic complexity"".
If there is more than one construct studied, please separate constructs by a comma (,)",construct_new,method_type,method_name,What is the outcome of the method?,Do you have any comments on the study design?,If yes: What are your comments on the study design?,Are steps of validation reported?,Is there a link to an Appendix/additional Materials/GitHub repository?,"
Is the data for the analysis accessible?",Is the code for the analysis accessible?,E-Mail-Adresse,id,doi,journal,year,n_validation,location,v1,v2,v3,v4
2022-09-07T11:39:29Z,"Computational Identification of Media Frames: Strengths, Weaknesses, and Opportunities","Nicholls, Tom; Culpepper, Pepper D.","Yes, Continue with Coding",NA,Newspaper,English,NA,Frame Identification,Framing,"Supervised: Machine Learning, Unsupervised: Topic Modeling, Unsupervised: K-Means Clustering, Unsupervised: Evolutionary Factor Analysis","K-Means, Evolutionary Factor Analysis, Structural Topic Model (STM)",NA,Yes,comparison of different methods to identify media frames,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Computational_Nicholls,",10.1080/10584609.2020.1812777,Political Communication,2021,3,a,"We analyze two separate versions of this USA Today dataset. The first is the full collection of 4,653 news articles, covering all aspects of banking (and, indeed, containing some articles about non-bank related entities such as Red Bank (New Jersey), Tyra Banks, and the overflowing banks of various rivers). The second is a smaller 2,394 article subset produced by aggressively filtering out articles from the full dataset that match keywords associated with non-bank entities and subjects6. Thus, we have one narrow dataset (Australia Royal Commission) and one broad dataset (banking in USA Today), with the latter having both a filtered and unfiltered version. The value of using two contrasting kinds of data in this context is that they reflect two ends of a range of possibilities for the frame analyst. On the one hand, the Australian corpus is a fairly conventional tightly demarcated group of articles reflecting a single (extended) story. On the other, the USA Today corpus is much broader. It is the kind of dataset that would",Using two datasets to evaluate model performance,Content Validation,Yes
2022-09-07T11:39:29Z,"Computational Identification of Media Frames: Strengths, Weaknesses, and Opportunities","Nicholls, Tom; Culpepper, Pepper D.","Yes, Continue with Coding",NA,Newspaper,English,NA,Frame Identification,Framing,"Supervised: Machine Learning, Unsupervised: Topic Modeling, Unsupervised: K-Means Clustering, Unsupervised: Evolutionary Factor Analysis","K-Means, Evolutionary Factor Analysis, Structural Topic Model (STM)",NA,Yes,comparison of different methods to identify media frames,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Computational_Nicholls,",10.1080/10584609.2020.1812777,Political Communication,2021,3,b,"We also carried out a manual analysis on the Australian dataset, for comparison with the computational methods. The basic structure of the analysis was based upon the procedure recommended by Chong & Druckman (2007, pp. 106–108). In the first stage, the authors specified the event for which frames would be sought; in this case, the Australian banking Royal Commission. In the second stage, the frame-defining attitudes were chosen to be attitudes to the banking scandals. For the third stage, two researchers (the first author and a research assistant well-versed in the Australian banking scandals) worked separately after being briefed on the event and attitudes, and also the Chong & Druckman definition of emphasis frames. Each was issued an identical 300-article randomly ordered random sample of the Australian data, and instructed to inductively identify a framing schema. We do not claim that the results of this manual analysis are “the” gold standard set of frames against which to measure the computational approaches. Given the challenges of operationalizing framing and the low reliability of human coding as a result of researcher effects (Matthes and Kohring, 2008), we offer them as one plausible set of frames, not as the only one. However, they do stand up as reasonably distinct statements of problem definition and causal interpretation of Australian banking scandal of 2018.",manual identification of overarching frames,External: Human Annotated Scores,Yes
2022-09-07T11:39:29Z,"Computational Identification of Media Frames: Strengths, Weaknesses, and Opportunities","Nicholls, Tom; Culpepper, Pepper D.","Yes, Continue with Coding",NA,Newspaper,English,NA,Frame Identification,Framing,"Supervised: Machine Learning, Unsupervised: Topic Modeling, Unsupervised: K-Means Clustering, Unsupervised: Evolutionary Factor Analysis","K-Means, Evolutionary Factor Analysis, Structural Topic Model (STM)",NA,Yes,comparison of different methods to identify media frames,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Computational_Nicholls,",10.1080/10584609.2020.1812777,Political Communication,2021,3,c,"We therefore evaluate the different frame identification methods subjectively, according to the quality of the frames they have selected. There are no quantitative measures of each of these criteria; they are abstract theoretical qualities about which we make judgments. We use three criteria for quality, with the latter two drawing on Gerring (2001) and Roberts et al. (2014). First, the extent to which the frames identified by the methods fit with our understanding of what a media frame is – an interpretive lens that includes the definition of a problem and a diagnosis of its causes (Entman, 1993, p. 52). Second, the extent to which each identified frame is internally coherent. Third, the extent to which each identified frame is externally differentiable from other potential frames.",human evaluation of frames identified by different methods,Content Validation,No
2022-09-13T12:01:22Z,Strategy Framing in News Coverage and Electoral Success: An Analysis of Topic Model Networks Approach,"Walter, Dror; Ophir, Yotam","Yes, Continue with Coding",NA,Newspaper,English,NA,Strategy Framing,Framing,Unsupervised: Topic Modeling,Analysis of Topic Model Network (ANTMN),NA,Yes,"Strategy frames focus on candidates’ standing in polls (using horse race metaphors), their motivations, performance, character, and style. Issue frames focus on candidates’ record and opinions on policies. Media emphasis of strategy at the expense of issue frames (Aalberg et al., 2012; Patterson, 1994) was found to yield cynicism toward the political process (Cappella & Jamieson, 1997) and the media (Hopmann et al., 2015) and to decrease political knowledge (Cappella & Jamieson, 1997).",Yes,Yes,No,No,lukas.birkenmaier@outlook.de,"Strategy_Walter,",10.1080/10584609.2020.1858379,Political Communication,2021,1,a,"The strategy and issue estimation per document were further validated using manual content analysis of 150 articles by two independent trained coders (not the authors; Krippendorff’s α = .85). As coders used the common five-level strategy issue scale (Aalberg et al., 2012) and our estimation was a continues 0–100 scale (the percentage of the language that related to strategyoriented topics), we used Pearson’s correlation to examine the similarity between the two scales at the article level. Results showed high agreement between the manual coders and the auto mated estimations (r = 0.81, p < .001; see Appendix 2 for detail).",Human annotation,External: Human Annotated Scores,No
2022-11-14T11:24:07Z,Quantitative analysis of large amounts of journalistic texts using topic modelling,"Jacobi, Carina; van Atteveldt, Wouter; Welbers, Kasper","Yes, Continue with Coding","general template, but replication of study for political framing",Newspaper,English,NA,political frame (on nuclear power),Framing,Unsupervised: Topic Modeling,LDA,NA,No,NA,Yes,Yes,No,Yes,lukas.birkenmaier@outlook.de,"Quantitative_Jacobi,",10.1080/21670811.2015.1093271,Digital Journalism,2016,2,a,"In topic 3, Cold War, the words “United”, “States”, “Soviet”, “Union” and “weapon”
immediately suggest that this is a topic about the US–Soviet conflict. Lower-ranking
words include variations on the “weapon” theme as well as more diplomatic terms such
as “agreement” and “proposal”. The topic occurs most frequently between the mid1950s and the mid-1980s, with a peak in the early 1960s that can be easily identified as
the Cuban missile crisis",inspecting the top words for each topic,Content Validation,Yes
2022-11-14T11:24:07Z,Quantitative analysis of large amounts of journalistic texts using topic modelling,"Jacobi, Carina; van Atteveldt, Wouter; Welbers, Kasper","Yes, Continue with Coding","general template, but replication of study for political framing",Newspaper,English,NA,political frame (on nuclear power),Framing,Unsupervised: Topic Modeling,LDA,NA,No,NA,Yes,Yes,No,Yes,lukas.birkenmaier@outlook.de,"Quantitative_Jacobi,",10.1080/21670811.2015.1093271,Digital Journalism,2016,2,b,"Our purpose here, however, was to compare the topics we found using LDA with
the outcome of the framing research by Gamson and Modigliani (1989). Compared to
the frames or interpretive packages found in their analysis, the topics of our LDA analysis seem to be more concrete and specific. Similar to Gamson and Modigliani’s study,
we found that topics change over time, but not all of them increase or decrease in a
linear way. Also, topics seem to either cluster a number of related events together (nuclear proliferation talks, nuclear accidents) or represent issues that are continuously present over a longer period of time (the economics of nuclear energy, nuclear weapons
tests). It is not possible, however, to deduct a particular viewpoint or frame from a
topic directly—for example, we found no clear “anti-nuclear” cluster, whereas Gamson
and Modigliani found multiple frames that are critical of nuclear energy. It is quite likely
that the coverage of nuclear accidents and danger is predominantly covered from an
anti-nuclear perspective, but even in this case there is a clear difference between the
“issue” or event being covered (nuclear accidents) and the frame with which it iscovered. That said, for some of the topics, such as the Research and Accidents topics,
we do see that the temporal pattern is similar to that identified for the Progress and
Runaway packages, respectively.
To see whether increasing the number of clusters helps find word patterns that
are more fine-grained and more frame-like than those representing issues, we will
explore what happens if we increase the number of topics from 10 to 25",replication study thus comparing it with the original results,Content Validation,No
2022-11-30T15:04:29Z,You’ve got mail: how the Trump administration used legislative communication to frame his last year in office,"Tripodi, Francesca; Ma, Yuanye","Yes, Continue with Coding",NA,Party Politics: Government Communication,English,NA,Frame,Framing,Unsupervised: Topic Modeling,STM,NA,No,NA,NA,No,NA,NA,lukas.birkenmaier@outlook.de,"You’ve_Tripodi,",10.1080/1369118X.2021.2020873,"Information, Communication & Society",2022,1,a,"he topics appear cohesive and exclusive to each other, i.e., no overlapping or repeated
words were found across topics. Operationally, STM supports the retrieval of exemplar
documents through its embedded function ﬁndThoughts. Using this output, we analyzed
ﬁve exemplar documents from each cluster to determine the top seven topics being dis-
cussed (e.g., ‘the conﬁrmation of Judge Barrett to the Supreme Court,’ or ‘COVID-19’).",Evaluting top words per topic,Content Validation,No
2022-09-15T10:33:55Z,Ideological Scaling of Social Media Users: A Dynamic Lexicon Approach,"Temporão, Mickael; Vande Kerckhove, Corentin; van der Linden, Clifton; Dufresne, Yannick; Hendrickx, Julien M.","Yes, Continue with Coding",NA,Social Media: Twitter,Others,"English, French",Ideological Position,Ideological position,Unsupervised: Text Scaling,dynamic lexicon approach,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Ideological_Temporão,",10.1017/pan.2018.30,Political Analysis,2018,3,a,"We begin with a focus on the face validity (Dinas and Gemenis 2010) of the estimates produced by the dynamic lexicon approach, drawing on an overview of the ideological landscapes in each of our three case studies. Our objective is to develop an intuitive rendering of the ideological positioning of the major parties in each case, so that we have a frame of reference by which to compare the estimates generated by the dynamic lexicon approach
",face validity,Content Validation,Yes
2022-09-15T10:33:55Z,Ideological Scaling of Social Media Users: A Dynamic Lexicon Approach,"Temporão, Mickael; Vande Kerckhove, Corentin; van der Linden, Clifton; Dufresne, Yannick; Hendrickx, Julien M.","Yes, Continue with Coding",NA,Social Media: Twitter,Others,"English, French",Ideological Position,Ideological position,Unsupervised: Text Scaling,dynamic lexicon approach,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Ideological_Temporão,",10.1017/pan.2018.30,Political Analysis,2018,3,b,"We then test the convergent validity of the calibration process for the dynamic lexicon of political terms. Here we focus on the subset of political candidates, whose user-generated content defines the dynamic lexicon, by comparing the positions derived from this approach to an ideological scaling approach based on network information (Barberá 2015; Bond and Messing 2015)","comparing it with network analysis (so other method, but not CATM)",Unsure,Yes
2022-09-15T10:33:55Z,Ideological Scaling of Social Media Users: A Dynamic Lexicon Approach,"Temporão, Mickael; Vande Kerckhove, Corentin; van der Linden, Clifton; Dufresne, Yannick; Hendrickx, Julien M.","Yes, Continue with Coding",NA,Social Media: Twitter,Others,"English, French",Ideological Position,Ideological position,Unsupervised: Text Scaling,dynamic lexicon approach,NA,No,NA,Yes,Yes,Yes,Yes,lukas.birkenmaier@outlook.de,"Ideological_Temporão,",10.1017/pan.2018.30,Political Analysis,2018,3,c,"Finally, we extend this approach to individual citizens in our sample and compare their estimated positions to a reference position derived from survey data collected from Vote Compass

""Having demonstrated that the dynamic lexicon approach can derive valid ideological dimensions from the content that political elites generate on social media, and that it can position those political elites in ideological space in ways that correlated highly with more established methods, we now examine its ability to classify the individual ideologies of the broader population of social media users. To do so, we compare the dynamic lexicon approach to a basic Wordfish approach, in which we ignore the precomputed values and instead simply apply the algorithm. Two different baseline strategies are proposed, depending on whether or not we consider the use of a lexicon of political terms to create the TDM for citizens. In the first strategy (Wordfish-all), users’ TDM is generated keeping all the N -grams (i.e., following the same building process as for elites’ TDM Z elit). The second strategy (Wordfish-political) considers the adapted TDM Z cit built from the dynamic lexicon of political terms. The reference ideological position for each users is derived from the survey data collected by Vote Compass.6 We use an expectation–maximization algorithm to solve the maximum likelihood problem that generates these estimates (Barber 2012). We consider a social media extraction to be effective if two social media users with similar ideologies according to the Vote Compass survey data are also situated in close ideological proximity to one another using the dynamic lexicon approach. The quality of estimates is then defined as the Pearson correlation coefficient (ρ) between the vector of textual estimates and the vector of reference ideologies.""",Criterion validity with survey scores,External: Criterion data / Predictive validation,No
2022-11-14T10:27:56Z,Parametrizing Brexit: mapping Twitter political space to parliamentary constituencies,"Bastos, Marco; Mercea, Dan","Yes, Continue with Coding",NA,Social Media: Twitter,English,NA,"ideological coordinates of Globalism, Economism, Nationalism, and Populism",Ideological position,Supervised: Machine Learning,newly develpoed machine learning,NA,No,NA,Yes,No,NA,NA,lukas.birkenmaier@outlook.de,"Parametrizing_Bastos,",10.1080/1369118X.2018.1433224,"Information, Communication & Society",2018,1,a,"We relied on the abovementioned set of 10,000 manually coded tweets to assign a value
(positive or negative) to each of the concepts we have sought to map, with the algorithm
calculating the probability of positiveness and negativeness for each ideological polarity
(Globalism vs. Nationalism and Economism vs. Populism). For each ideological pair,
the classifier returns a range of values from 0 (completely globalist) to 1 (completely
nationalist), so that values from 0.45 to 0.55 are somewhere in the middle of this scale
and assumed to be relatively neutral. The algorithm was trained using Document-Term
Matrix (DTM), vocabulary-based vectorization, and the TF-IDF method for text preprocessing. Figure 2 shows the area under the curve on train and test datasets for the Economism–Populism and Globalism–Nationalism ideological pairs (AUC = 0.8697 and
AUC = 0.901, respectively). The algorithm performed well for the set of 565,028 tweets
explored in this study and we expect it to perform reasonably well in other national contexts in which nativist and populist sentiments might be emerging. In the last step of the
classification, the algorithm calculates the best fit, projects the results along spatial coordinates comprising the four ideological dimensions, and estimate significant oscillations
between any of the ideological pairs.",hand coding,External: Human Annotated Scores,No
2022-11-29T10:11:14Z,Validating Wordscores: The Promises and Pitfalls of Computational Text Scaling,"Bruinsma, Bastiaan; Gemenis, Kostas","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,Others,Multilingual,ideological position,Ideological position,Unsupervised: Text Scaling,Wordscores,NA,No,NA,NA,Yes,No,No,lukas.birkenmaier@outlook.de,"Validating_Bruinsma,",10.1080/19312458.2019.1594741,Communication Methods and Measures,2019,2,a,"We begin by examining the degree to which the Wordscores estimates correlate with other known measures of party positions as outlined in the study design section. Carmines and Zeller (1979) refer to this type of validity as criterion validity while other authors use the term concurrent validity. Our analysis uses the concordance correlation coefficient (CCC) defined as the product between Pearson’s product-moment correlation coefficient that measures dispersion (i.e. the degree of random measurement error) and a bias correction factor that measures the deviation from the 45º line of perfect concordance (Lin, 1989). We use CCC as both Pearson’s and Spearman’s correlation coefficients are likely to overestimate the degree of validity in case of the presence of systematic measurement error.6","predicting expert ratings (difficult to code, since it is a measure between content and predictive Validity)",External: Criterion data / Predictive validation,Yes
2022-11-29T10:11:14Z,Validating Wordscores: The Promises and Pitfalls of Computational Text Scaling,"Bruinsma, Bastiaan; Gemenis, Kostas","Yes, Continue with Coding",NA,Party Politics: Party Manifestos,Others,Multilingual,ideological position,Ideological position,Unsupervised: Text Scaling,Wordscores,NA,No,NA,NA,Yes,No,No,lukas.birkenmaier@outlook.de,"Validating_Bruinsma,",10.1080/19312458.2019.1594741,Communication Methods and Measures,2019,2,b,"In addition to criterion/concurrent validity, we also examine what Carmines & Zeller (1979) call construct validity, and others refer to as predictive validity. Construct/predictive validity refers to the extent to which a measure behaves as expected within a given theoretical context. Following, Klingemann et al. (2006,p.36–39) and McElroy and Benoit (2007) who use a similar approach to validate Manifesto Project and expert survey data respectively, we hypothesize that we can use the ideological positions of parties to predict membership in the political groups of the European Parliament (EP). To do so, we estimate a multinomial regression model where the dependent variable takes eight values, one for each of the seven party groups in the EP (as of 2009) with nonattached parties forming the eighth group. The predictors are party positions on the socio-economic, socio-cultural, and European integration dimensions.",prediction of party label,External: Criterion data / Predictive validation,No
